method,trait,chr,model,position,nearest_marker,qtl_lod,marker_variance,interval_left,interval_right,population,study,id
stepwiseqtl,UNS,12,all-years,72.080054,bin_12@72.08cM_scaffold_18697_5303,22.8144539593257,10.054220792237,67.750051,75.770058,cnj02,self,361
stepwiseqtl,PAC,1,2013,102.540091,bin_1@102.54cM_scaffold_13178_3759,35.1756306230154,12.3206038491936,100.35009,105.720094,cnj02,self,362
stepwiseqtl,PAC,2,2013,14.280018,bin_2@14.28cM_scaffold_14281_3522,42.6465272054763,17.1670857409358,13.690016,17.05002,cnj02,self,363
stepwiseqtl,PAC,7,2013,46.010056,bin_7@46.01cM_scaffold_101118_92,46.8872158984306,20.4628806771229,42.590053,47.540057,cnj02,self,364
stepwiseqtl,PAC,11,2012,17.250019,bin_11@17.25cM_scaffold_26864_4373,21.7774265626772,11.1575252113639,11.070014,20.18002,cnj02,self,365
stepwiseqtl,PAC,11,2013,55.970065,bin_11@55.97cM_scaffold_44881_490,36.2043134256308,12.9229525462685,54.780064,57.190067,cnj02,self,366
stepwiseqtl,PAC,12,2011,49.400033,bin_12@49.4cM_scaffold_40948_2457,29.6998783555882,15.4671406092781,46.97003,50.470034,cnj02,self,367
stepwiseqtl,PFR,4,2011,62.260063,bin_4@62.26cM_scaffold_12816_2498,39.9452338365271,14.4340988386572,59.880062,64.870064,cnj02,self,368
stepwiseqtl,PFR,7,2011,11.040013,bin_7@11.04cM_scaffold_23393_1217,32.9408219029638,10.6448203285032,5.950009,11.640014,cnj02,self,369
stepwiseqtl,PFR,7,2012,17.480024,bin_7@17.48cM_scaffold_50033_1488,30.7842928642046,11.1060728006331,16.770023,21.06003,cnj02,self,370
stepwiseqtl,PFR,7,2013,42.260051,bin_7@42.26cM_scaffold_3253_2909,29.6102989434178,11.6581033898698,38.260048,44.800054,cnj02,self,371
stepwiseqtl,PFR,7,all-years,38.260048,bin_7@38.26cM_scaffold_48675_2016,36.0984844242292,11.8077585736812,35.700047,41.730049,cnj02,self,372
stepwiseqtl,PFR,11,2011,35.390036,bin_11@35.39cM_scaffold_1773_837,38.0741692970147,13.3496477647967,31.230035,38.070045,cnj02,self,373
stepwiseqtl,PFR,11,2012,30.320034,bin_11@30.32cM_scaffold_28856_2095,37.6372048284481,15.3891514931465,28.380033,31.230035,cnj02,self,374
stepwiseqtl,PFR,11,2013,36.930039,bin_11@36.93cM_scaffold_143020_259,33.8796066985947,14.4093156870327,31.230035,37.210042,cnj02,self,375
stepwiseqtl,PFR,11,all-years,17.250019,bin_11@17.25cM_scaffold_26864_4373,39.5405781876136,13.6674755696405,14.050015,20.18002,cnj02,self,376
stepwiseqtl,PFR,12,2011,25.050015,bin_12@25.05cM_scaffold_48814_2384,43.9861432586353,16.974866977179,20.860014,31.540016,cnj02,self,377
stepwiseqtl,PFR,12,2012,18.170011,bin_12@18.17cM_scaffold_104350_512,30.5274602051263,10.9626325593649,15.19001,20.860014,cnj02,self,378
stepwiseqtl,PFR,12,2013,42.810024,bin_12@42.81cM_scaffold_23451_2236,33.9698643874084,14.4715153771921,38.110019,44.600028,cnj02,self,379
stepwiseqtl,PFR,12,all-years,19.300013,bin_12@19.3cM_scaffold_23546_462,44.1976356522027,16.479886412547,18.170011,20.860014,cnj02,self,380
stepwiseqtl,URB,1,2011,30.570019,bin_1@30.57cM_SCF43220,35.7286392957964,17.6935423104576,29.700016,31.68002,cnj02,self,381
stepwiseqtl,URB,1,2011,30.570019,bin_1@30.57cM_SCF43220,35.7286392957964,17.6935423104576,29.700016,31.68002,cnj02,self,382
stepwiseqtl,URB,1,2011,30.570019,bin_1@30.57cM_SCF43220,35.7286392957964,17.6935423104576,29.700016,31.68002,cnj02,self,383
stepwiseqtl,URB,7,2011,52.200066,bin_7@52.2cM_scaffold_16505_2368,33.5966794554677,16.0851245272232,50.010061,53.510069,cnj02,self,384
stepwiseqtl,URB,7,2011,52.200066,bin_7@52.2cM_scaffold_16505_2368,33.5966794554677,16.0851245272232,50.010061,53.510069,cnj02,self,385
stepwiseqtl,URB,7,2011,52.200066,bin_7@52.2cM_scaffold_16505_2368,33.5966794554677,16.0851245272232,50.010061,53.510069,cnj02,self,386
stepwiseqtl,URB,11,2011,46.900054,bin_11@46.9cM_scaffold_91186_478,30.1964359334764,13.7066665672561,44.640053,50.060056,cnj02,self,387
stepwiseqtl,URB,11,2011,46.900054,bin_11@46.9cM_scaffold_91186_478,30.1964359334764,13.7066665672561,44.640053,50.060056,cnj02,self,388
stepwiseqtl,URB,11,2011,46.900054,bin_11@46.9cM_scaffold_91186_478,30.1964359334764,13.7066665672561,44.640053,50.060056,cnj02,self,389
stepwiseqtl,USL,10,2013,18.530015,bin_10@18.53cM_scaffold_10669_2217,24.0922170990092,11.8139616316827,16.730014,19.720016,cnj02,self,390
stepwiseqtl,SFY,3,2011,28.640026,bin_3@28.64cM_scaffold_13388_3745,33.6826288397011,10.3645827132713,26.570025,29.670027,cnj02,self,391
stepwiseqtl,SFY,7,2012,1.190003,bin_7@1.19cM_scaffold_82631_465,27.8788589913854,10.6061529470593,0.0,1.790004,cnj02,self,392
stepwiseqtl,SFY,7,2013,38.260048,bin_7@38.26cM_scaffold_48675_2016,40.9762755685777,12.4982775716158,35.700047,41.730049,cnj02,self,393
stepwiseqtl,SFY,11,2012,41.67005,bin_11@41.67cM_scaffold_19915_4093,36.87457032612,16.5129881936296,38.690046,44.640053,cnj02,self,394
stepwiseqtl,SFY,11,all-years,21.880021,bin_11@21.88cM_scaffold_1122_2182,25.2366780522227,14.4908441274526,20.18002,27.290029,cnj02,self,395
stepwiseqtl,SFY,12,2011,41.410021,bin_12@41.41cM_scaffold_68603_1565,47.9417501205597,18.5879410669776,38.110019,42.600023,cnj02,self,396
stepwiseqtl,SFY,12,2012,42.600023,bin_12@42.6cM_scaffold_2038_8084,36.7181856587625,16.3955465122333,38.110019,44.600028,cnj02,self,397
stepwiseqtl,SFY,12,all-years,41.410021,bin_12@41.41cM_scaffold_68603_1565,22.2292379927583,12.1943106900638,38.110019,42.600023,cnj02,self,398
stepwiseqtl,TA,2,2011,6.450009,bin_2@6.45cM_scaffold_21168_3751,22.1011561076289,10.8461962027829,5.060007,8.03001,cnj02,self,399
stepwiseqtl,TA,2,2013,49.290046,bin_2@49.29cM_scaffold_102465_607,22.9206140399525,11.5536657632517,48.260045,52.480053,cnj02,self,400
stepwiseqtl,TA,2,all-years,49.990048,bin_2@49.99cM_scaffold_12807_2478,28.597941729056,17.2837239246433,48.260045,52.480053,cnj02,self,401
stepwiseqtl,TA,3,2013,32.77003,bin_3@32.77cM_scaffold_58370_1534,24.9739188265204,13.0485166552443,30.260029,33.360031,cnj02,self,402
stepwiseqtl,TA,5,2012,47.120032,bin_5@47.12cM_scaffold_19438_3420,40.0091174536913,20.6514552095366,45.18003,48.650036,cnj02,self,403
stepwiseqtl,TA,7,2012,11.640014,bin_7@11.64cM_scaffold_30502_3978,30.7025730999737,13.3593204169732,9.900012,14.310018,cnj02,self,404
stepwiseqtl,TA,12,2011,72.550055,bin_12@72.55cM_scaffold_16384_3421,25.8077567141783,13.3990221030906,67.750051,75.770058,cnj02,self,405
stepwiseqtl,Tacy,3,2011,54.230054,bin_3@54.23cM_scaffold_52119_1893,54.0362081789845,34.3637241901094,52.940053,58.580056,cnj02,self,406
stepwiseqtl,Tacy,3,2012,58.580056,bin_3@58.58cM_scaffold_42994_1177,26.6681054518921,17.727466127427,52.940053,60.960057,cnj02,self,407
stepwiseqtl,Tacy,3,all-years,56.180055,bin_3@56.18cM_scf5304,35.5912765922444,24.7355734483483,52.940053,58.580056,cnj02,self,408
stepwiseqtl,Tacy,7,all-years,32.730043,bin_7@32.73cM_SCF116864,26.627326238301,16.0863624801906,29.450041,38.260048,cnj02,self,409
stepwiseqtl,UTBM,1,2012,29.980017,bin_1@29.98cM_scaffold_6110_904,40.7881606617946,14.6442824676914,29.700016,31.68002,cnj02,self,410
stepwiseqtl,UTBM,1,all-years,32.270021,bin_1@32.27cM_scaffold_8765_4335,25.7024723416372,11.1611046610232,30.570019,33.470023,cnj02,self,411
stepwiseqtl,UTBM,6,2012,24.850027,bin_6@24.85cM_scaffold_71573_464,33.0353387448936,10.2782032077253,21.610025,26.590029,cnj02,self,412
stepwiseqtl,UTBM,6,all-years,30.540034,bin_6@30.54cM_scaffold_28511_3940,30.115181589679,13.999113575271,28.210033,31.910037,cnj02,self,413
stepwiseqtl,UTBM,10,all-years,43.210044,bin_10@43.21cM_scaffold_4975_3252,27.4397712747356,12.2376547513905,39.030042,45.750048,cnj02,self,414
stepwiseqtl,UTBM,11,2011,28.380033,bin_11@28.38cM_scaffold_115280_182,21.2056349216838,11.9211103352835,26.680028,31.230035,cnj02,self,415
stepwiseqtl,UTBM,11,2013,31.230035,bin_11@31.23cM_scaffold_62302_445,22.9926793317648,11.3186633474088,28.380033,37.210042,cnj02,self,416
stepwiseqtl,TY,6,2013,42.970052,bin_6@42.97cM_scaffold_40699_2470,29.7595459323834,15.6934836624253,40.50005,43.530053,cnj02,self,417
stepwiseqtl,TY,12,2012,56.660039,bin_12@56.66cM_SCF116567,32.4728240796729,17.0288224202294,54.960038,57.23004,cnj02,self,418
stepwiseqtl,TY,12,2013,44.600028,bin_12@44.6cM_scaffold_84682_293,25.7852710491097,12.6704334844391,43.510027,46.300029,cnj02,self,419
stepwiseqtl,ULvW,2,2011,73.480084,bin_2@73.48cM_scaffold_9595_7405,25.7643640067451,11.1636890066215,70.540083,74.700085,cnj02,self,420
stepwiseqtl,ULvW,2,2012,73.480084,bin_2@73.48cM_scaffold_9595_7405,31.4198382011466,12.424578225726,67.310081,74.700085,cnj02,self,421
stepwiseqtl,ULvW,2,2013,78.400089,bin_2@78.4cM_scaffold_3671_8042,23.7001733463407,11.3850971003902,75.430088,82.19009,cnj02,self,422
stepwiseqtl,ULvW,2,all-years,78.400089,bin_2@78.4cM_scaffold_3671_8042,30.5280134513811,15.0763794203869,75.430088,82.19009,cnj02,self,423
stepwiseqtl,ULvW,4,2011,58.690061,bin_4@58.69cM_scaffold_61487_1055,24.888496535518,10.6408182101632,50.140058,62.260063,cnj02,self,424
stepwiseqtl,ULvW,4,2013,71.24007,bin_4@71.24cM_scaffold_51672_24,26.8329350059979,13.6196530324293,69.820068,75.260071,cnj02,self,425
stepwiseqtl,ULvW,5,2013,31.090019,bin_5@31.09cM_scaffold_20582_2639,27.9205900257682,14.4478243103499,26.360017,35.86002,cnj02,self,426
stepwiseqtl,ULvW,8,2012,8.400006,bin_8@8.4cM_scaffold_4934_8824,30.2034528019534,11.6848165980851,5.310004,10.480008,cnj02,self,427
stepwiseqtl,ULvW,10,2011,66.900068,bin_10@66.9cM_scaffold_7594_831,31.8619226983873,15.173422066543,65.460067,69.640069,cnj02,self,428
stepwiseqtl,ULvW,10,2012,51.790055,bin_10@51.79cM_scaffold_6929_8428,27.7438140566595,10.2718431750876,49.030052,52.800056,cnj02,self,429
stepwiseqtl,ULvW,10,2013,61.460062,bin_10@61.46cM_scaffold_50997_727,24.0346981621683,11.6134545773943,58.430061,62.450063,cnj02,self,430
stepwiseqtl,ULvW,10,all-years,63.190064,bin_10@63.19cM_scaffold_3402_3392,30.350449738096,14.9472539840197,61.460062,66.900068,cnj02,self,431
stepwiseqtl,ULvW,11,2011,78.020094,bin_11@78.02cM_scaffold_105350_615,33.4292188525768,16.316991794658,75.640091,79.330095,cnj02,self,432
stepwiseqtl,ULvW,11,2013,28.380033,bin_11@28.38cM_scaffold_115280_182,29.6964285065316,15.8617119958791,20.18002,30.320034,cnj02,self,433
stepwiseqtl,ULvW,11,all-years,81.330099,bin_11@81.33cM_SCF181772b,31.2638009324217,15.6181975399326,79.550096,82.5201,cnj02,self,434
stepwiseqtl,UMFM,3,2011,45.51005,bin_3@45.51cM_scaffold_12440_4793,39.5837432204846,17.8079987242921,43.300049,50.640052,cnj02,self,435
stepwiseqtl,UMFM,3,all-years,45.51005,bin_3@45.51cM_scaffold_12440_4793,45.5835338000244,13.2979575068425,43.300049,47.000051,cnj02,self,436
stepwiseqtl,UMFM,10,2011,36.020035,bin_10@36.02cM_scaffold_18203_3098,34.3933166226741,14.2411065258124,32.910029,37.250038,cnj02,self,437
stepwiseqtl,UMFM,10,all-years,37.250038,bin_10@37.25cM_SCF7569,44.8649605016363,12.9343655203871,36.610037,38.400039,cnj02,self,438
stepwiseqtl,UMFM,11,2013,38.070045,bin_11@38.07cM_scaffold_7181_4242,21.1505869892924,10.0209940688768,37.500044,38.690046,cnj02,self,439
stepwiseqtl,UMFM,11,all-years,30.320034,bin_11@30.32cM_scaffold_28856_2095,54.6737934757395,18.5729444858927,28.380033,31.230035,cnj02,self,440
stepwiseqtl,UL,1,2013,32.270021,bin_1@32.27cM_scaffold_8765_4335,21.6227875529044,11.2369751409686,29.700016,32.870022,cnj02,self,441
stepwiseqtl,UL,1,all-years,32.270021,bin_1@32.27cM_scaffold_8765_4335,31.2282803468605,13.2451173419096,31.68002,35.260027,cnj02,self,442
stepwiseqtl,UL,6,all-years,40.360049,bin_6@40.36cM_scaffold_2233_7378,41.719518972345,20.9183896767282,38.900048,40.50005,cnj02,self,443
stepwiseqtl,UL,11,2011,46.900054,bin_11@46.9cM_scaffold_91186_478,31.1480764798223,15.5273257537405,44.640053,55.970065,cnj02,self,444
